,school,district,city,state,county,address,zip,school_sample,cleaned
691,Rock View Elementary,Montgomery County Public Schools,Kensington,MD,Montgomery County,3901 Denfeld Ave,20895,0,Rock View Elementary School
692,Harmony Hills Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,13407 Lydia St,20906,0,Harmony Hills Elementary School
693,Ridgeview Middle,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,16600 Raven Rock Dr,20878,1,Ridgeview Middle School
694,Belmont Elementary,Montgomery County Public Schools,Olney,MD,Montgomery County,19528 Olney Mill Rd,20832,0,Belmont Elementary School
695,John T. Baker Middle School,Montgomery County Public Schools,Damascus,MD,Montgomery County,25400 Oak Dr,20872,0,John T. Baker Middle School
696,Poolesville High,Montgomery County Public Schools,Poolesville,MD,Montgomery County,17501 Willard Rd,20837,0,Poolesville High School
697,Highland View Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,9010 Providence Ave,20901,0,Highland View Elementary School
698,Kensington Parkwood Elementary,Montgomery County Public Schools,Kensington,MD,Montgomery County,4710 Saul Rd,20895,0,Kensington Parkwood Elementary School
699,Cold Spring Elementary,Montgomery County Public Schools,Potomac,MD,Montgomery County,9201 Falls Chapel Way,20854,0,Cold Spring Elementary School
700,Carderock Springs Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,7401 Persimmon Tree Lane,20817,0,Carderock Springs Elementary School
701,Meadow Hall Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,951 Twinbrook Pkwy,20851,0,Meadow Hall Elementary School
702,Strathmore Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,3200 Beaverwood Ln,20906,0,Strathmore Elementary School
703,College Gardens Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,1700 Yale Place,20850,0,College Gardens Elementary School
704,Wood Acres Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,5800 Cromwell Drive,20816,0,Wood Acres Elementary School
705,Rolling Terrace Elementary,Montgomery County Public Schools,Takoma Park,MD,Montgomery County,705 Bayfield St,20912,0,Rolling Terrace Elementary School
706,Takoma Park Elementary,Montgomery County Public Schools,Takoma Park,MD,Montgomery County,7511 Holly Ave,20912,0,Takoma Park Elementary School
707,Laytonsville Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,21401 Laytonsville Rd,20882,0,Laytonsville Elementary School
708,White Oak Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,12201 New Hampshire Ave,20904,0,White Oak Middle School
709,Beall Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,451 Beall Ave,20850,0,Beall Elementary School
710,Joann Leleck At Broad Acres Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,710 Beacon Rd,20903,0,Joann Leleck At Broad Acres Elementary School
711,Georgian Forest Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,3100 Regina Dr,20906,0,Georgian Forest Elementary School
712,Glenallan Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,12520 Heurich Rd,20902,0,Glenallan Elementary School
713,Greencastle Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,13611 Robey Rd,20904,0,Greencastle Elementary School
714,Regional Institute For Children & Adolescents,Montgomery County Public Schools,Rockville,MD,Montgomery County,15000 Broschart Rd,20850,0,Regional Institute For Children & Adolescents
715,Jones Lane Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,15110 Jones Ln,20878,0,Jones Lane Elementary School
716,Bannockburn Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,6520 Dalroy Ln,20817,0,Bannockburn Elementary School
717,Mcps Transitions School,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,11721 Kemp Mill Rd,20902,0,Mcps Transitions School
718,Forest Oak Middle,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,651 Saybrooke Oaks Blvd,20877,0,Forest Oak Middle School
719,Albert Einstein High,Montgomery County Public Schools,Kensington,MD,Montgomery County,11135 Newport Mill Rd,20895,1,Albert Einstein High School
720,Westover Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,401 Hawkesbury Ln,20904,0,Westover Elementary School
721,Viers Mill Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,11711 Joseph Mill Rd,20906,0,Viers Mill Elementary School
722,Cashell Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,17101 Cashell Rd,20853,0,Cashell Elementary School
723,Wyngate Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,9300 Wadsworth Dr,20817,0,Wyngate Elementary School
724,Springbrook High,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,201 Valleybrook Dr,20904,0,Springbrook High School
725,William Tyler Page Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,13400 Tamarack Rd,20904,0,William Tyler Page Elementary School
726,Sequoyah Elementary,Montgomery County Public Schools,Derwood,MD,Montgomery County,17301 Bowie Mill Rd,20855,0,Sequoyah Elementary School
727,Judith A. Resnik Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,7301 Hadley Farms Drive,20879,1,Judith A. Resnik Elementary School
728,Montgomery Blair High,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,51 University Blvd E,20901,0,Montgomery Blair High School
729,Eastern Middle School,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,300 University Blvd East,20901,0,Eastern Middle School
730,Wheaton High,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,12401 Dalewood Dr,20906,0,Wheaton High School
731,Stonegate Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,14811 Notley Rd,20905,0,Stonegate Elementary School
732,Burtonsville Elementary,Montgomery County Public Schools,Burtonsville,MD,Montgomery County,15516 Old Columbia Pike,20866,0,Burtonsville Elementary School
733,Olney Elementary,Montgomery County Public Schools,Olney,MD,Montgomery County,3401 Queen Mary Dr,20832,0,Olney Elementary School
734,Watkins Mill High,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,10301 Apple Ridge Rd,20879,0,Watkins Mill High School
735,John F. Kennedy High,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1901 Randolph Rd,20902,0,John F. Kennedy High School
736,Carl Sandburg Center,Montgomery County Public Schools,Rockville,MD,Montgomery County,451 Meadow Hall Dr,20851,0,Carl Sandburg Center
737,Montgomery Knolls Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,807 Daleview Dr,20901,0,Montgomery Knolls Elementary School
738,Fields Road Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,1 School Dr,20878,0,Fields Road Elementary School
739,Cannon Road Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,901 Cannon Road,20904,0,Cannon Road Elementary School
740,Somerset Elementary,Montgomery County Public Schools,Chevy Chase,MD,Montgomery County,5811 Warwick Pl,20815,0,Somerset Elementary School
741,Sherwood Elementary,Montgomery County Public Schools,Sandy Spring,MD,Montgomery County,1401 Olney-Sandy Spring Rd,20860,0,Sherwood Elementary School
742,Walter Johnson High,Montgomery County Public Schools,Bethesda,MD,Montgomery County,6400 Rock Spring Dr,20814,0,Walter Johnson High School
743,Quince Orchard High,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,15800 Quince Orchard Rd,20878,0,Quince Orchard High School
744,John H. Poole Middle,Montgomery County Public Schools,Poolesville,MD,Montgomery County,17014 Tom Fox Ave,20837,0,John H. Poole Middle School
745,Pep - Itinerant,Montgomery County Public Schools,Germantown,MD,Montgomery County,12900 Middlebrook Rd Rm 3305,20874,0,Pep - Itinerant
746,Alternative Programs,Montgomery County Public Schools,Rockville,MD,Montgomery County,14501 Avery Road,20853,0,Alternative Programs
747,Burning Tree Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,7900 Beech Tree Rd,20817,0,Burning Tree Elementary School
748,Kingsview Middle,Montgomery County Public Schools,Germantown,MD,Montgomery County,18909 Kingsview Rd,20874,0,Kingsview Middle School
749,Cabin John Middle School,Montgomery County Public Schools,Potomac,MD,Montgomery County,10701 Gainsborough Road,20854,0,Cabin John Middle School
750,South Lake Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,18201 Contour Rd,20877,0,South Lake Elementary School
751,Silver Creek Middle,Montgomery County Public Schools,Kensington,MD,Montgomery County,3701 Saul Rd,20895,0,Silver Creek Middle School
752,Parkland Middle,Montgomery County Public Schools,Rockville,MD,Montgomery County,4610 West Frankfort Dr,20853,0,Parkland Middle School
753,Fallsmead Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,1800 Greenplace Ter,20850,0,Fallsmead Elementary School
754,Rocky Hill Middle,Montgomery County Public Schools,Clarksburg,MD,Montgomery County,22401 Brick Haven Way,20871,0,Rocky Hill Middle School
755,Takoma Park Middle School,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,7611 Piney Branch Rd,20910,0,Takoma Park Middle School
756,Gaithersburg Middle,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,2 Teachers' Way,20877,0,Gaithersburg Middle School
757,Bells Mill Elementary,Montgomery County Public Schools,Potomac,MD,Montgomery County,8225 Bells Mill Rd,20854,0,Bells Mill Elementary School
758,Rosemont Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,16400 Alden Ave,20877,0,Rosemont Elementary School
759,Fox Chapel Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,19315 Archdale Rd,20876,0,Fox Chapel Elementary School
760,Bethesda-Chevy Chase High,Montgomery County Public Schools,Bethesda,MD,Montgomery County,4301 East-West Hwy,20814,0,Bethesda-Chevy Chase High School
761,Galway Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,12612 Galway Dr,20904,0,Galway Elementary School
762,Darnestown Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,15030 Turkey Foot Rd,20878,0,Darnestown Elementary School
763,Rockville High,Montgomery County Public Schools,Rockville,MD,Montgomery County,2100 Baltimore Rd,20851,0,Rockville High School
764,Cloverly Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,800 Briggs Chaney Rd,20905,0,Cloverly Elementary School
765,Clarksburg High,Montgomery County Public Schools,Clarksburg,MD,Montgomery County,22500 Wims Rd,20871,0,Clarksburg High School
766,Rock Creek Forest Elementary,Montgomery County Public Schools,Chevy Chase,MD,Montgomery County,8330 Grubb Road,20815,0,Rock Creek Forest Elementary School
767,Briggs Chaney Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1901 Rainbow Dr,20905,0,Briggs Chaney Middle School
768,Piney Branch Elementary,Montgomery County Public Schools,Takoma Park,MD,Montgomery County,7510 Maple Ave,20912,0,Piney Branch Elementary School
769,Neelsville Middle,Montgomery County Public Schools,Germantown,MD,Montgomery County,11700 Neelsville Church Rd,20876,0,Neelsville Middle School
770,William H. Farquhar Middle,Montgomery County Public Schools,Olney,MD,Montgomery County,17017 Batchellors Forest Rd,20832,0,William H. Farquhar Middle School
771,Redland Middle,Montgomery County Public Schools,Rockville,MD,Montgomery County,6505 Muncaster Mill Rd,20855,0,Redland Middle School
772,Discovery School,Lake Washington School District,Kirkland,WA,King County,12801 84th NE,98034,0,Discovery School
773,Renaissance School,Lake Washington School District,Sammamish,WA,King County,400 228th Ave NE,98074,0,Renaissance School
774,Environmental & Adventure School,Lake Washington School District,Kirkland,WA,King County,8040 NE 132nd,98034,0,Environmental & Adventure School
775,International Community School,Lake Washington School District,Kirkland,WA,King County,11133 NE 65th ST,98033,0,International Community School
776,Twain Elementary,Lake Washington School District,Kirkland,WA,King County,9525 130th Ave NE,98033,0,Twain Elementary School
777,Rose Hill Middle School,Lake Washington School District,Redmond,WA,King County,13505 NE 75th,98052,0,Rose Hill Middle School
778,Washington Network For Innovative Careers,Lake Washington School District,Redmond,WA,King County,WaNIC,98052,0,Washington Network For Innovative Careers
779,Juanita Elementary,Lake Washington School District,Kirkland,WA,King County,9635 NE 132nd,98034,0,Juanita Elementary School
780,Stella Schola,Lake Washington School District,Redmond,WA,King County,13505 NE 75th Street,98052,1,Stella Schola
781,Redmond Middle School,Lake Washington School District,Redmond,WA,King County,10055 166th AVE NE,98052,0,Redmond Middle School
782,Ready Start Preschool,Lake Washington School District,Redmond,WA,King County,15130 NE 95th ST,98052,1,Ready Start Preschool
783,Redmond Elementary,Lake Washington School District,Redmond,WA,King County,16800 NE 80th,98052,0,Redmond Elementary School
784,Franklin Elementary,Lake Washington School District,Kirkland,WA,King County,12434 NE 60th,98033,0,Franklin Elementary School
785,Frost Elementary,Lake Washington School District,Kirkland,WA,King County,11801 NE 140th,98034,0,Frost Elementary School
786,Kirk Elementary,Lake Washington School District,Kirkland,WA,King County,1312 6th Street,98033,0,Kirk Elementary School
787,Alcott Elementary,Lake Washington School District,Redmond,WA,King County,4213 - 228th AVE NE,98053,1,Alcott Elementary School
788,Eastlake High School,Lake Washington School District,Sammamish,WA,King County,400 228th NE,98074,0,Eastlake High School
789,Mann Elementary,Lake Washington School District,Redmond,WA,King County,17001 NE 104th,98052,0,Mann Elementary School
790,Emerson K-12,Lake Washington School District,Kirkland,WA,King County,10903 NE 53rd Street,98033,0,Emerson K-12
791,Northstar Middle School,Lake Washington School District,Kirkland,WA,King County,10903 NE 53rd St,98033,0,Northstar Middle School
792,Rose Hill Elementary,Lake Washington School District,Kirkland,WA,King County,8044 128th AVE NE,98033,0,Rose Hill Elementary School
793,Kamiakin Middle School,Lake Washington School District,Kirkland,WA,King County,14111 132ND AVE NE,98034,0,Kamiakin Middle School
794,Rockwell Elementary,Lake Washington School District,Redmond,WA,King County,11125 - 162nd AVE NE,98052,0,Rockwell Elementary School
795,Community School,Lake Washington School District,Kirkland,WA,King County,11133 NE 65th,98033,0,Community School
796,Futures School,Lake Washington School District,Kirkland,WA,King County,10601 NE 132nd,98034,0,Futures School
797,Thoreau Elementary,Lake Washington School District,Kirkland,WA,King County,8224 NE 138th,98034,0,Thoreau Elementary School
798,Tesla Stem High School,Lake Washington School District,Redmond,WA,King County,4301 228th Ave NE,98053,0,Tesla Stem High School
799,Muir Elementary,Lake Washington School District,Kirkland,WA,King County,14012 132nd AVE NE,98034,0,Muir Elementary School
800,Finn Hill Middle School,Lake Washington School District,Kirkland,WA,King County,8040 NE 132nd ST,98034,0,Finn Hill Middle School
801,Keller Elementary,Lake Washington School District,Kirkland,WA,King County,13820 - 108th NE,98034,0,Keller Elementary School
802,Blackwell Elementary,Lake Washington School District,Sammamish,WA,King County,3225 - 205th PL NE,98074,0,Blackwell Elementary School
803,Evergreen Middle School,Lake Washington School District,Redmond,WA,King County,6900 208th AVE NE,98053,1,Evergreen Middle School
804,Kirkland Middle School,Lake Washington School District,Kirkland,WA,King County,430 18th AVE,98033,0,Kirkland Middle School
805,Emerson High School,Lake Washington School District,Kirkland,WA,King County,10903 NE 53rd ST,98033,1,Emerson High School
806,Audubon Elementary,Lake Washington School District,Redmond,WA,King County,3045 180th NE,98052,0,Audubon Elementary School
807,Lakeview Elementary,Lake Washington School District,Kirkland,WA,King County,10400 NE 68TH,98033,0,Lakeview Elementary School
808,Inglewood Middle School,Lake Washington School District,Sammamish,WA,King County,24120 NE 8th ST,98074,0,Inglewood Middle School
809,Rush Elementary,Lake Washington School District,Redmond,WA,King County,6101 152nd Ave NE,98052,0,Rush Elementary School
810,Lake Washington High,Lake Washington School District,Kirkland,WA,King County,12033 NE 80TH,98033,0,Lake Washington High School
811,Bell Elementary,Lake Washington School District,Kirkland,WA,King County,11212 NE 112TH,98033,0,Bell Elementary School
812,Juanita High,Lake Washington School District,Kirkland,WA,King County,10601 NE 132ND,98034,0,Juanita High School
813,Wilder Elementary,Lake Washington School District,Woodinville,WA,King County,22130 NE 133rd,98077,0,Wilder Elementary School
814,Dickinson Elementary,Lake Washington School District,Redmond,WA,King County,7040 - 208th NE,98053,0,Dickinson Elementary School
815,Redmond High,Lake Washington School District,Redmond,WA,King County,17272 NE 104th,98052,1,Redmond High School
816,Contractual Schools,Lake Washington School District,Redmond,WA,King County,16250 NE 74th ST,98052,0,Contractual Schools
817,Mead Elementary,Lake Washington School District,Sammamish,WA,King County,1725 216th AVE NE,98074,0,Mead Elementary School
818,Smith Elementary,Lake Washington School District,Sammamish,WA,King County,23305 NE 14th St,98074,0,Smith Elementary School
819,Mcauliffe Elementary,Lake Washington School District,Sammamish,WA,King County,23823 NE 22nd,98074,0,Mcauliffe Elementary School
820,Explorer Community School,Lake Washington School District,Redmond,WA,King County,7040 208th NE,98053,0,Explorer Community School
821,Sandburg Elementary,Lake Washington School District,Kirkland,WA,King County,12801 - 84th Ave NE,98034,0,Sandburg Elementary School
822,Carson Elementary,Lake Washington School District,Sammamish,WA,King County,1035 - 244th Ave NE,98074,0,Carson Elementary School
823,Einstein Elementary,Lake Washington School District,Redmond,WA,King County,18025 NE 116th,98052,0,Einstein Elementary School
824,Rosa Parks Elementary,Lake Washington School District,Redmond,WA,King County,22845 NE Cedar Park Crescent,98053,0,Rosa Parks Elementary School
825,Searingtown School,Herricks Union Free School District,Albertson,NY,Nassau County,106 BEVERLY DR,11507,1,Searingtown School
826,Denton Avenue School,Herricks Union Free School District,New Hyde Park,NY,Nassau County,1050 DENTON AVE,11040,0,Denton Avenue School
827,Herricks Middle School,Herricks Union Free School District,Albertson,NY,Nassau County,7 HILLDALE DR,11507,1,Herricks Middle School
828,Center Street School,Herricks Union Free School District,Williston Park,NY,Nassau County,240 CENTER ST,11596,1,Center Street School
829,Herricks High School,Herricks Union Free School District,New Hyde Park,NY,Nassau County,100 SHELTER ROCK RD,11040,1,Herricks High School
830,Sanford Jr High School,Sanford Public Schools,Sanford,ME,York County,708  Main Street,04073,1,Sanford Jr High School
831,Carl J Lamb School,Sanford Public Schools,Springvale,ME,York County,233 Shaws Ridge Road,04083,1,Carl J Lamb School
832,Willard School,Sanford Public Schools,Sanford,ME,York County,668 Main Street,04073,1,Willard School
833,Sanford High School,Sanford Public Schools,Sanford,ME,York County,52 Sanford High School Blvd,04073,1,Sanford High School
834,Sanford Regional Technical Center,Sanford Public Schools,Sanford,ME,York County,52 Sanford High School Blvd,04073,0,Sanford Regional Technical Center
835,Lafayette School,Sanford Public Schools,Sanford,ME,York County,69 Brook Street,04073,0,Lafayette School
836,Margaret Chase Smith Sch -Sanford,Sanford Public Schools,Sanford,ME,York County,248 Twombly Road,04073,0,Margaret Chase Smith School -Sanford
837,Prospect Elementary,Orange Unified,Orange,CA,Orange County,379 N. Virage St.,92869,0,Prospect Elementary School
838,California Elementary,Orange Unified,Orange,CA,Orange County,1080 N. California St.,92867,0,California Elementary School
839,Cerro Villa Middle,Orange Unified,Villa Park,CA,Orange County,17852 E. Serrano Ave.,92861,0,Cerro Villa Middle School
840,Ousd Community Day,Orange Unified,Orange,CA,Orange County,250 S. Yorba St.,92869,0,Ousd Community Day
841,Esplanade Elementary,Orange Unified,Orange,CA,Orange County,381 N. Esplanade St.,92869,0,Esplanade Elementary School
842,La Veta Elementary,Orange Unified,Orange,CA,Orange County,2800 E. La Veta Ave.,92869,0,La Veta Elementary School
843,Linda Vista Elementary,Orange Unified,Orange,CA,Orange County,1200 N. Cannon St.,92869,0,Linda Vista Elementary School
844,Mcpherson Magnet,Orange Unified,Orange,CA,Orange County,333 S. Prospect St.,92869,0,Mcpherson Magnet
845,Crescent Elementary,Orange Unified,Anaheim,CA,Orange County,5001 Gerda Dr.,92807,0,Crescent Elementary School
846,Villa Park Elementary,Orange Unified,Villa Park,CA,Orange County,10551 Center Dr.,92861,0,Villa Park Elementary School
847,Ousd Home Sch,Orange Unified,Orange,CA,Orange County,250 S. Yorba St.,92869,0,Ousd Home School
848,Jordan Elementary,Orange Unified,Orange,CA,Orange County,4319 E. Jordan Ave.,92869,1,Jordan Elementary School
849,Anaheim Hills Elementary,Orange Unified,Anaheim,CA,Orange County,6450 E. Serrano,92807,0,Anaheim Hills Elementary School
850,Chapman Hills Elementary,Orange Unified,Orange,CA,Orange County,170 N. Aspen St.,92869,0,Chapman Hills Elementary School
851,Canyon High,Orange Unified,Anaheim,CA,Orange County,220 S. Imperial Hwy.,92807,1,Canyon High School
852,Olive Elementary,Orange Unified,Orange,CA,Orange County,3038 N. Magnolia,92865,0,Olive Elementary School
853,Villa Park High,Orange Unified,Villa Park,CA,Orange County,18042 Taft Ave.,92861,0,Villa Park High School
854,Lampson Elementary,Orange Unified,Garden Grove,CA,Orange County,13321 Lampson Ave.,92840,0,Lampson Elementary School
855,Yorba Middle,Orange Unified,Orange,CA,Orange County,935 N. Cambridge,92867,1,Yorba Middle School
856,El Modena High,Orange Unified,Orange,CA,Orange County,3920 Spring St.,92869,0,Elementary Modena High School
857,Canyon Rim Elementary,Orange Unified,Anaheim,CA,Orange County,1090 The Highlands Dr.,92808,0,Canyon Rim Elementary School
858,West Orange Elementary,Orange Unified,Orange,CA,Orange County,243 S. Bush,92868,1,West Orange Elementary School
859,Nohl Canyon Elementary,Orange Unified,Anaheim,CA,Orange County,4100 E. Nohl Ranch Rd.,92807,0,Nohl Canyon Elementary School
860,Orange High,Orange Unified,Orange,CA,Orange County,525 N. Shaffer St.,92867,0,Orange High School
861,Taft Elementary,Orange Unified,Orange,CA,Orange County,1829 N. Cambridge,92865,0,Taft Elementary School
862,Portola Middle,Orange Unified,Orange,CA,Orange County,270 N. Palm Dr.,92868,1,Portola Middle School
863,Palmyra Elementary,Orange Unified,Orange,CA,Orange County,1325 E. Palmyra Ave.,92866,0,Palmyra Elementary School
864,Running Springs Elementary,Orange Unified,Anaheim,CA,Orange County,8670 E. Running Springs Dr.,92808,0,Running Springs Elementary School
865,Canyon Hills,Orange Unified,Anaheim,CA,Orange County,260 S. Imperial Hwy.,92807,0,Canyon Hills
866,Cambridge Elementary,Orange Unified,Orange,CA,Orange County,425 N. Cambridge,92866,0,Cambridge Elementary School
867,Fairhaven Elementary,Orange Unified,Santa Ana,CA,Orange County,1415 E. Fairhaven Ave.,92705,0,Fairhaven Elementary School
868,Panorama Elementary,Orange Unified,Santa Ana,CA,Orange County,10512 Crawford Canyon Rd.,92705,0,Panorama Elementary School
869,Orange Unified Pre-K Sdc,Orange Unified,Anaheim,CA,Orange County,5125 E. Gerda Dr.,92807,0,Orange Unified Pre-K Sdc
870,Serrano Elementary,Orange Unified,Villa Park,CA,Orange County,17741 Serrano Ave.,92861,0,Serrano Elementary School
871,Handy Elementary,Orange Unified,Orange,CA,Orange County,860 N. Handy St.,92867,0,Handy Elementary School
872,Sycamore Elementary,Orange Unified,Orange,CA,Orange County,340 N. Main St.,92868,0,Sycamore Elementary School
873,Imperial Elementary,Orange Unified,Anaheim,CA,Orange County,400 S. Imperial Hwy.,92807,0,Imperial Elementary School
874,Richland Continuation High,Orange Unified,Orange,CA,Orange County,615 N. Lemon St.,92867,1,Richland Continuation High School
875,Fletcher Elementary,Orange Unified,Orange,CA,Orange County,515 W. Fletcher St.,92865,0,Fletcher Elementary School
876,Newman El,Frisco Isd,Frisco,TX,Denton County,12333 BRIAR RIDGE RD,75033,0,Newman Elementary School
877,Clark Middle,Frisco Isd,Frisco,TX,Collin County,4600 COLBY DR,75035,1,Clark Middle School
878,Stafford Middle,Frisco Isd,Frisco,TX,Denton County,2288 LITTLE RIVER DR,75034,0,Stafford Middle School
879,Student Opportunity Center,Frisco Isd,Frisco,TX,Collin County,6928 MAPLE ST,75034,0,Student Opportunity Center
880,Collin Co J J A E P,Frisco Isd,Frisco,TX,Collin County,5515 OHIO DR,75035,0,Collin Co J J A E P
881,Frisco H S,Frisco Isd,Frisco,TX,Collin County,6401 PARKWOOD BLVD,75034,0,Frisco High School
882,Lone Star H S,Frisco Isd,Frisco,TX,Denton County,2606 PANTHER CREEK PKWY,75034,0,Lone Star High School
883,Corbell El,Frisco Isd,Frisco,TX,Denton County,11095 MONARCH DR,75034,0,Corbell Elementary School
884,Shawnee Trail El,Frisco Isd,Frisco,TX,Collin County,10701 PRESTON VINEYARD DR,75035,0,Shawnee Trail Elementary School
885,Sonntag El,Frisco Isd,Mckinney,TX,Collin County,2001 REAGAN DR,75070,0,Sonntag Elementary School
886,Heritage H S,Frisco Isd,Frisco,TX,Collin County,14040 ELDORADO PKWY,75035,0,Heritage High School
887,Memorial H S,Frisco Isd,Frisco,TX,Collin County,12300 FRISCO ST,75033,1,Memorial High School
888,Isbell El,Frisco Isd,Frisco,TX,Collin County,6000 MALTBY DR,75035,0,Isbell Elementary School
889,Wakeland H S,Frisco Isd,Frisco,TX,Denton County,10700 LEGACY DR,75034,0,Wakeland High School
890,Nelson Middle,Frisco Isd,Frisco,TX,Collin County,10100 INDEPENDENCE PKWY,75035,1,Nelson Middle School
891,Hunt Middle,Frisco Isd,Frisco,TX,Collin County,4900 LEGENDARY DR,75034,0,Hunt Middle School
892,Maus Middle,Frisco Isd,Frisco,TX,Collin County,12175 COIT RD,75035,0,Maus Middle School
893,Trent Middle,Frisco Isd,Frisco,TX,Denton County,13131 COLETO CREEK DR,75033,0,Trent Middle School
894,Vandeventer Middle,Frisco Isd,Frisco,TX,Collin County,6075 INDEPENDENCE PKWY,75035,0,Vandeventer Middle School
895,Spears El,Frisco Isd,Frisco,TX,Collin County,8500 WADE BLVD,75034,0,Spears Elementary School
896,Taylor El,Frisco Isd,Plano,TX,Collin County,9865 GILLESPIE DR,75025,0,Taylor Elementary School
897,Christie El,Frisco Isd,Frisco,TX,Collin County,10300 HUNTINGTON RD,75035,1,Christie Elementary School
898,Comstock El,Frisco Isd,Mckinney,TX,Collin County,7152 SILVERADO TRAIL,75070,0,Comstock Elementary School
899,Roach Middle,Frisco Isd,Frisco,TX,Collin County,12499 INDEPENDENCE PKWY,75035,0,Roach Middle School
900,Nichols El,Frisco Isd,Frisco,TX,Denton County,7411 NICHOLS TRAIL,75034,0,Nichols Elementary School
901,Pioneer Heritage Middle,Frisco Isd,Frisco,TX,Denton County,1649 HIGH SHOALS DR,75034,0,Pioneer Heritage Middle School
902,Scoggins Middle,Frisco Isd,Mckinney,TX,Collin County,7070 STACY RD,75070,0,Scoggins Middle School
903,Early Childhood School,Frisco Isd,Frisco,TX,Collin County,10330 RED CEDAR DR,75035,0,Early Childhood School
904,Norris El,Frisco Isd,Frisco,TX,Collin County,10101 SHEPTON LN,75035,0,Norris Elementary School
905,Elliott El,Frisco Isd,Mckinney,TX,Collin County,3721 HUDSON CROSSING,75070,0,Elliott Elementary School
906,Wester Middle,Frisco Isd,Frisco,TX,Collin County,12293 SHEPHERDS HILL LN,75035,0,Wester Middle School
907,Purefoy El,Frisco Isd,Frisco,TX,Denton County,11880 TEEL PKWY,75034,0,Purefoy Elementary School
908,Pearson Middle,Frisco Isd,Frisco,TX,Denton County,2323 STONEBROOK PKWY,75034,0,Pearson Middle School
909,Fisher El,Frisco Isd,Frisco,TX,Denton County,2500 OLD ORCHARD DR,75034,0,Fisher Elementary School
910,Tadlock El,Frisco Isd,Frisco,TX,Collin County,12515 GODFREY DR,75035,0,Tadlock Elementary School
911,Riddle El,Frisco Isd,Plano,TX,Collin County,8201 ROBINSON RD,75024,0,Riddle Elementary School
912,Anderson El,Frisco Isd,Plano,TX,Collin County,2800 OAKLAND HILLS DR,75025,0,Anderson Elementary School
913,Liberty H S,Frisco Isd,Frisco,TX,Collin County,15250 ROLATER RD,75035,0,Liberty High School
914,Vaughn El,Frisco Isd,Frisco,TX,Denton County,3535 GUINN GATE DR,75034,0,Vaughn Elementary School
915,Pink El,Frisco Isd,Frisco,TX,Denton County,3650 OVERHILL DR,75034,0,Pink Elementary School
916,Lebanon Trail H S,Frisco Isd,Frisco,TX,Collin County,5151 OHIO DR,75035,1,Lebanon Trail High School
